Año,Unidades Vendidas,ITCRB Estados Unidos Promedio,Restriccion de importaciones,Brecha Cambiaria,Inflacion,Reservas Internacionales,PIB (Millones de US$ a precios actuales),Devaluacion Interanual,PIB/reservas
2002,82345,202.4567968,0,-0.006319581798688,0.4090000000,11064.096,97724.00425,0.9418085053,8.832534014
2003,155666,171.7426252,0,-0.004374997490532,0.0370000000,11890.70683,127586.9735,0.2233945789,10.72997386
2004,311961,168.4221155,0,-0.002547991731140,0.0610000000,16884.07143,164657.9305,0.0956236402,9.752264503
2005,402690,158.2167608,0,-0.003184659594531,0.1230000000,23419.36614,198737.095,0.0675363738,8.486015113
2006,460478,154.7778464,0,0.000130025846598,0.0980000000,25063.30522,232557.2608,0.0253093549,9.278794587
2007,564926,139.5142313,0,0.003505486654108,0.1480000000,40383.17814,287530.5084,0.0407161326,7.120056461
2008,611770,118.6934045,0,0.009051013239227,0.2570000000,47778.8755,361558.0371,0.1463422730,7.567319936
2009,487142,121.1056726,0,0.008000841768521,0.1140000000,46355.04472,332976.4846,0.1173435371,7.183176861
2010,698404,103.1626916,0,0.011334429194513,0.2390000000,49717.19106,423627.4221,0.0504717727,8.52074329
2011,883350,90.45773811,0,0.045716916706659,0.1830000000,50410.13415,530163.2816,0.0835956188,10.51699803
2012,830058,82.17293109,1,0.252965557834489,0.2180000000,46140.28926,545982.3757,0.1422830329,11.83309391
2013,963917,80.06689193,1,0.597416626628230,0.2660000000,37514.35685,552025.1403,0.3240432274,14.71503677
2014,613848,86.46668645,1,0.528735616441197,0.3800000000,28535.73967,526319.6737,0.3075806205,18.44422748
2015,613267,77.57421432,1,0.515296818476888,0.2690000000,31179.38934,594749.2854,0.6090463776,19.07507805
2016,721411,89.89837384,0,0.014274687606499,0.3620000000,32226.43725,557531.3762,0.2272518593,17.30043479
2017,883802,81.58418167,0,0.018742945565514,0.2480000000,49276.80894,643628.6653,0.2409220914,13.0614924
2018,681816,104.6026585,0,0.001566516226735,0.4760000000,56296.95041,524819.7429,1.2207397995,9.322347642
2019,368806,120.4678317,0,0.024430283583885,0.5380000000,59897.19342,451932.3561,0.6201782098,7.545134093
2020,312789,125.7755632,2,0.636586046704335,0.3610000000,42673.70417,389288.0563,0.4067494550,9.122434152
2021,381777,120.5260164,2,0.690888764312330,0.5090000000,41675.82377,418484.6605,0.2130578147,10.04142504
